Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency
"Granularity=clause, Sentence Index=3",2,clause,3,,1,0,0.00%
"Granularity=clause, Sentence Index=3, Syntagm Type=SBAR",3,clause,3,SBAR,1,0,0.00%
"Granularity=clause, Syntagm Type=SBAR",2,clause,,SBAR,72,13,18.06%
"Granularity=minimal, Sentence Index=0",2,minimal,0,,1847,262,14.19%
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADJP",3,minimal,0,ADJP,19,1,5.26%
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADVP",3,minimal,0,ADVP,28,2,7.14%
"Granularity=minimal, Sentence Index=0, Syntagm Type=CONJP",3,minimal,0,CONJP,1,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=INTJ",3,minimal,0,INTJ,2,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=NP",3,minimal,0,NP,1511,215,14.23%
"Granularity=minimal, Sentence Index=0, Syntagm Type=PP",3,minimal,0,PP,10,2,20.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=PRT",3,minimal,0,PRT,15,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=QP",3,minimal,0,QP,5,1,20.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=SBAR",3,minimal,0,SBAR,98,10,10.20%
"Granularity=minimal, Sentence Index=0, Syntagm Type=VP",3,minimal,0,VP,63,10,15.87%
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHADVP",3,minimal,0,WHADVP,19,5,26.32%
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHNP",3,minimal,0,WHNP,76,16,21.05%
"Granularity=minimal, Sentence Index=1",2,minimal,1,,333,20,6.01%
"Granularity=minimal, Sentence Index=1, Syntagm Type=ADJP",3,minimal,1,ADJP,11,1,9.09%
"Granularity=minimal, Sentence Index=1, Syntagm Type=ADVP",3,minimal,1,ADVP,8,0,0.00%
"Granularity=minimal, Sentence Index=1, Syntagm Type=NP",3,minimal,1,NP,258,17,6.59%
"Granularity=minimal, Sentence Index=1, Syntagm Type=PP",3,minimal,1,PP,2,0,0.00%
"Granularity=minimal, Sentence Index=1, Syntagm Type=PRT",3,minimal,1,PRT,6,0,0.00%
"Granularity=minimal, Sentence Index=1, Syntagm Type=SBAR",3,minimal,1,SBAR,25,1,4.00%
"Granularity=minimal, Sentence Index=1, Syntagm Type=VP",3,minimal,1,VP,13,1,7.69%
"Granularity=minimal, Sentence Index=1, Syntagm Type=WHADVP",3,minimal,1,WHADVP,2,0,0.00%
"Granularity=minimal, Sentence Index=1, Syntagm Type=WHNP",3,minimal,1,WHNP,8,0,0.00%
"Granularity=minimal, Sentence Index=2",2,minimal,2,,254,18,7.09%
"Granularity=minimal, Sentence Index=2, Syntagm Type=ADJP",3,minimal,2,ADJP,7,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=ADVP",3,minimal,2,ADVP,7,1,14.29%
"Granularity=minimal, Sentence Index=2, Syntagm Type=NP",3,minimal,2,NP,189,14,7.41%
"Granularity=minimal, Sentence Index=2, Syntagm Type=PP",3,minimal,2,PP,2,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=PRT",3,minimal,2,PRT,1,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=QP",3,minimal,2,QP,1,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=SBAR",3,minimal,2,SBAR,27,2,7.41%
"Granularity=minimal, Sentence Index=2, Syntagm Type=VP",3,minimal,2,VP,10,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHADVP",3,minimal,2,WHADVP,5,1,20.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHNP",3,minimal,2,WHNP,5,0,0.00%
"Granularity=minimal, Sentence Index=3",2,minimal,3,,126,7,5.56%
"Granularity=minimal, Sentence Index=3, Syntagm Type=ADJP",3,minimal,3,ADJP,3,1,33.33%
"Granularity=minimal, Sentence Index=3, Syntagm Type=ADVP",3,minimal,3,ADVP,5,0,0.00%
"Granularity=minimal, Sentence Index=3, Syntagm Type=NP",3,minimal,3,NP,95,4,4.21%
"Granularity=minimal, Sentence Index=3, Syntagm Type=PRT",3,minimal,3,PRT,1,0,0.00%
"Granularity=minimal, Sentence Index=3, Syntagm Type=SBAR",3,minimal,3,SBAR,15,2,13.33%
"Granularity=minimal, Sentence Index=3, Syntagm Type=VP",3,minimal,3,VP,5,0,0.00%
"Granularity=minimal, Sentence Index=3, Syntagm Type=WHADVP",3,minimal,3,WHADVP,1,0,0.00%
"Granularity=minimal, Sentence Index=3, Syntagm Type=WHNP",3,minimal,3,WHNP,1,0,0.00%
"Granularity=minimal, Sentence Index=4",2,minimal,4,,38,1,2.63%
"Granularity=minimal, Sentence Index=4, Syntagm Type=ADJP",3,minimal,4,ADJP,1,0,0.00%
"Granularity=minimal, Sentence Index=4, Syntagm Type=ADVP",3,minimal,4,ADVP,2,0,0.00%
"Granularity=minimal, Sentence Index=4, Syntagm Type=NP",3,minimal,4,NP,30,1,3.33%
"Granularity=minimal, Sentence Index=4, Syntagm Type=SBAR",3,minimal,4,SBAR,3,0,0.00%
"Granularity=minimal, Sentence Index=4, Syntagm Type=VP",3,minimal,4,VP,1,0,0.00%
"Granularity=minimal, Sentence Index=4, Syntagm Type=WHNP",3,minimal,4,WHNP,1,0,0.00%
"Granularity=minimal, Sentence Index=5",2,minimal,5,,15,0,0.00%
"Granularity=minimal, Sentence Index=5, Syntagm Type=ADJP",3,minimal,5,ADJP,2,0,0.00%
"Granularity=minimal, Sentence Index=5, Syntagm Type=NP",3,minimal,5,NP,10,0,0.00%
"Granularity=minimal, Sentence Index=5, Syntagm Type=SBAR",3,minimal,5,SBAR,2,0,0.00%
"Granularity=minimal, Sentence Index=5, Syntagm Type=VP",3,minimal,5,VP,1,0,0.00%
"Granularity=minimal, Sentence Index=6",2,minimal,6,,12,0,0.00%
"Granularity=minimal, Sentence Index=6, Syntagm Type=NP",3,minimal,6,NP,9,0,0.00%
"Granularity=minimal, Sentence Index=6, Syntagm Type=SBAR",3,minimal,6,SBAR,2,0,0.00%
"Granularity=minimal, Sentence Index=6, Syntagm Type=VP",3,minimal,6,VP,1,0,0.00%
"Granularity=minimal, Sentence Index=7",2,minimal,7,,6,0,0.00%
"Granularity=minimal, Sentence Index=7, Syntagm Type=NP",3,minimal,7,NP,4,0,0.00%
"Granularity=minimal, Sentence Index=7, Syntagm Type=SBAR",3,minimal,7,SBAR,1,0,0.00%
"Granularity=minimal, Sentence Index=7, Syntagm Type=VP",3,minimal,7,VP,1,0,0.00%
"Granularity=minimal, Sentence Index=8",2,minimal,8,,2,1,50.00%
"Granularity=minimal, Sentence Index=8, Syntagm Type=NP",3,minimal,8,NP,2,1,50.00%
"Granularity=minimal, Sentence Index=9",2,minimal,9,,2,0,0.00%
"Granularity=minimal, Sentence Index=9, Syntagm Type=NP",3,minimal,9,NP,2,0,0.00%
"Granularity=minimal, Syntagm Type=ADJP",2,minimal,,ADJP,43,3,6.98%
"Granularity=minimal, Syntagm Type=ADVP",2,minimal,,ADVP,50,3,6.00%
"Granularity=minimal, Syntagm Type=CONJP",2,minimal,,CONJP,1,0,0.00%
"Granularity=minimal, Syntagm Type=INTJ",2,minimal,,INTJ,2,0,0.00%
"Granularity=minimal, Syntagm Type=NP",2,minimal,,NP,2110,252,11.94%
"Granularity=minimal, Syntagm Type=PP",2,minimal,,PP,14,2,14.29%
"Granularity=minimal, Syntagm Type=PRT",2,minimal,,PRT,23,0,0.00%
"Granularity=minimal, Syntagm Type=QP",2,minimal,,QP,6,1,16.67%
"Granularity=minimal, Syntagm Type=SBAR",2,minimal,,SBAR,173,15,8.67%
"Granularity=minimal, Syntagm Type=VP",2,minimal,,VP,95,11,11.58%
"Granularity=minimal, Syntagm Type=WHADVP",2,minimal,,WHADVP,27,6,22.22%
"Granularity=minimal, Syntagm Type=WHNP",2,minimal,,WHNP,91,16,17.58%
"Sentence Index=0, Syntagm Type=ADJP",2,,0,ADJP,23,1,4.35%
"Sentence Index=0, Syntagm Type=ADVP",2,,0,ADVP,31,5,16.13%
"Sentence Index=0, Syntagm Type=CONJP",2,,0,CONJP,1,0,0.00%
"Sentence Index=0, Syntagm Type=INTJ",2,,0,INTJ,2,0,0.00%
"Sentence Index=0, Syntagm Type=NP",2,,0,NP,1774,239,13.47%
"Sentence Index=0, Syntagm Type=PP",2,,0,PP,516,85,16.47%
"Sentence Index=0, Syntagm Type=PRT",2,,0,PRT,15,0,0.00%
"Sentence Index=0, Syntagm Type=QP",2,,0,QP,5,1,20.00%
"Sentence Index=0, Syntagm Type=SBAR",2,,0,SBAR,182,22,12.09%
"Sentence Index=0, Syntagm Type=VP",2,,0,VP,386,47,12.18%
"Sentence Index=0, Syntagm Type=WHADVP",2,,0,WHADVP,19,5,26.32%
"Sentence Index=0, Syntagm Type=WHNP",2,,0,WHNP,76,16,21.05%
"Sentence Index=1, Syntagm Type=ADJP",2,,1,ADJP,11,1,9.09%
"Sentence Index=1, Syntagm Type=ADVP",2,,1,ADVP,8,0,0.00%
"Sentence Index=1, Syntagm Type=NP",2,,1,NP,283,19,6.71%
"Sentence Index=1, Syntagm Type=PP",2,,1,PP,66,2,3.03%
"Sentence Index=1, Syntagm Type=PRT",2,,1,PRT,6,0,0.00%
"Sentence Index=1, Syntagm Type=SBAR",2,,1,SBAR,41,3,7.32%
"Sentence Index=1, Syntagm Type=VP",2,,1,VP,118,3,2.54%
"Sentence Index=1, Syntagm Type=WHADVP",2,,1,WHADVP,2,0,0.00%
"Sentence Index=1, Syntagm Type=WHNP",2,,1,WHNP,8,0,0.00%
"Sentence Index=2, Syntagm Type=ADJP",2,,2,ADJP,8,0,0.00%
"Sentence Index=2, Syntagm Type=ADVP",2,,2,ADVP,7,1,14.29%
"Sentence Index=2, Syntagm Type=NP",2,,2,NP,217,15,6.91%
"Sentence Index=2, Syntagm Type=PP",2,,2,PP,45,2,4.44%
"Sentence Index=2, Syntagm Type=PRT",2,,2,PRT,1,0,0.00%
"Sentence Index=2, Syntagm Type=QP",2,,2,QP,1,0,0.00%
"Sentence Index=2, Syntagm Type=SBAR",2,,2,SBAR,38,3,7.89%
"Sentence Index=2, Syntagm Type=VP",2,,2,VP,93,10,10.75%
"Sentence Index=2, Syntagm Type=WHADVP",2,,2,WHADVP,5,1,20.00%
"Sentence Index=2, Syntagm Type=WHNP",2,,2,WHNP,5,0,0.00%
"Sentence Index=3, Syntagm Type=ADJP",2,,3,ADJP,4,1,25.00%
"Sentence Index=3, Syntagm Type=ADVP",2,,3,ADVP,5,0,0.00%
"Sentence Index=3, Syntagm Type=NP",2,,3,NP,114,4,3.51%
"Sentence Index=3, Syntagm Type=PP",2,,3,PP,22,0,0.00%
"Sentence Index=3, Syntagm Type=PRT",2,,3,PRT,1,0,0.00%
"Sentence Index=3, Syntagm Type=SBAR",2,,3,SBAR,17,2,11.76%
"Sentence Index=3, Syntagm Type=VP",2,,3,VP,42,4,9.52%
"Sentence Index=3, Syntagm Type=WHADVP",2,,3,WHADVP,1,0,0.00%
"Sentence Index=3, Syntagm Type=WHNP",2,,3,WHNP,1,0,0.00%
"Sentence Index=4, Syntagm Type=ADJP",2,,4,ADJP,2,0,0.00%
"Sentence Index=4, Syntagm Type=ADVP",2,,4,ADVP,3,0,0.00%
"Sentence Index=4, Syntagm Type=NP",2,,4,NP,31,1,3.23%
"Sentence Index=4, Syntagm Type=PP",2,,4,PP,6,0,0.00%
"Sentence Index=4, Syntagm Type=SBAR",2,,4,SBAR,4,0,0.00%
"Sentence Index=4, Syntagm Type=VP",2,,4,VP,19,0,0.00%
"Sentence Index=4, Syntagm Type=WHNP",2,,4,WHNP,1,0,0.00%
"Sentence Index=5, Syntagm Type=ADJP",2,,5,ADJP,2,0,0.00%
"Sentence Index=5, Syntagm Type=NP",2,,5,NP,10,0,0.00%
"Sentence Index=5, Syntagm Type=PP",2,,5,PP,1,0,0.00%
"Sentence Index=5, Syntagm Type=SBAR",2,,5,SBAR,2,0,0.00%
"Sentence Index=5, Syntagm Type=VP",2,,5,VP,7,0,0.00%
"Sentence Index=6, Syntagm Type=NP",2,,6,NP,9,0,0.00%
"Sentence Index=6, Syntagm Type=PP",2,,6,PP,1,0,0.00%
"Sentence Index=6, Syntagm Type=SBAR",2,,6,SBAR,2,0,0.00%
"Sentence Index=6, Syntagm Type=VP",2,,6,VP,6,0,0.00%
"Sentence Index=7, Syntagm Type=NP",2,,7,NP,4,0,0.00%
"Sentence Index=7, Syntagm Type=SBAR",2,,7,SBAR,1,0,0.00%
"Sentence Index=7, Syntagm Type=VP",2,,7,VP,3,1,33.33%
"Sentence Index=8, Syntagm Type=NP",2,,8,NP,2,1,50.00%
"Sentence Index=8, Syntagm Type=VP",2,,8,VP,1,0,0.00%
"Sentence Index=9, Syntagm Type=NP",2,,9,NP,2,0,0.00%
"Sentence Index=9, Syntagm Type=VP",2,,9,VP,1,0,0.00%
