Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency
"Granularity=minimal, Sentence Index=0, Syntagm Type=PP",3,minimal,0,PP,10,1,10.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=PRT",3,minimal,0,PRT,15,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=QP",3,minimal,0,QP,5,1,20.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=SBAR",3,minimal,0,SBAR,98,15,15.31%
"Granularity=minimal, Sentence Index=0, Syntagm Type=VP",3,minimal,0,VP,63,9,14.29%
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHADVP",3,minimal,0,WHADVP,19,4,21.05%
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHNP",3,minimal,0,WHNP,76,10,13.16%
"Granularity=minimal, Sentence Index=1",2,minimal,1,,333,23,6.91%
"Granularity=minimal, Sentence Index=1, Syntagm Type=ADJP",3,minimal,1,ADJP,11,0,0.00%
"Granularity=minimal, Sentence Index=1, Syntagm Type=ADVP",3,minimal,1,ADVP,8,1,12.50%
"Granularity=minimal, Sentence Index=1, Syntagm Type=NP",3,minimal,1,NP,258,18,6.98%
"Granularity=minimal, Sentence Index=1, Syntagm Type=PP",3,minimal,1,PP,2,0,0.00%
"Granularity=minimal, Sentence Index=1, Syntagm Type=PRT",3,minimal,1,PRT,6,0,0.00%
"Granularity=minimal, Sentence Index=1, Syntagm Type=SBAR",3,minimal,1,SBAR,25,1,4.00%
"Granularity=minimal, Sentence Index=1, Syntagm Type=VP",3,minimal,1,VP,13,3,23.08%
"Granularity=minimal, Sentence Index=1, Syntagm Type=WHADVP",3,minimal,1,WHADVP,2,0,0.00%
"Granularity=minimal, Sentence Index=1, Syntagm Type=WHNP",3,minimal,1,WHNP,8,0,0.00%
"Granularity=minimal, Sentence Index=2",2,minimal,2,,254,22,8.66%
"Granularity=minimal, Sentence Index=2, Syntagm Type=ADJP",3,minimal,2,ADJP,7,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=ADVP",3,minimal,2,ADVP,7,1,14.29%
"Granularity=minimal, Sentence Index=2, Syntagm Type=NP",3,minimal,2,NP,189,17,8.99%
"Granularity=minimal, Sentence Index=2, Syntagm Type=PP",3,minimal,2,PP,2,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=PRT",3,minimal,2,PRT,1,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=QP",3,minimal,2,QP,1,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=SBAR",3,minimal,2,SBAR,27,2,7.41%
"Granularity=minimal, Sentence Index=2, Syntagm Type=VP",3,minimal,2,VP,10,2,20.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHADVP",3,minimal,2,WHADVP,5,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHNP",3,minimal,2,WHNP,5,0,0.00%
"Granularity=minimal, Sentence Index=3",2,minimal,3,,126,9,7.14%
"Granularity=minimal, Sentence Index=3, Syntagm Type=ADJP",3,minimal,3,ADJP,3,1,33.33%
"Granularity=minimal, Sentence Index=3, Syntagm Type=ADVP",3,minimal,3,ADVP,5,0,0.00%
"Granularity=minimal, Sentence Index=3, Syntagm Type=NP",3,minimal,3,NP,95,6,6.32%
"Granularity=minimal, Sentence Index=3, Syntagm Type=PRT",3,minimal,3,PRT,1,0,0.00%
"Granularity=minimal, Sentence Index=3, Syntagm Type=SBAR",3,minimal,3,SBAR,15,2,13.33%
"Granularity=minimal, Sentence Index=3, Syntagm Type=VP",3,minimal,3,VP,5,0,0.00%
"Granularity=minimal, Sentence Index=3, Syntagm Type=WHADVP",3,minimal,3,WHADVP,1,0,0.00%
"Granularity=minimal, Sentence Index=3, Syntagm Type=WHNP",3,minimal,3,WHNP,1,0,0.00%
"Granularity=minimal, Sentence Index=4",2,minimal,4,,38,0,0.00%
"Granularity=minimal, Sentence Index=4, Syntagm Type=ADJP",3,minimal,4,ADJP,1,0,0.00%
"Granularity=minimal, Sentence Index=4, Syntagm Type=ADVP",3,minimal,4,ADVP,2,0,0.00%
"Granularity=minimal, Sentence Index=4, Syntagm Type=NP",3,minimal,4,NP,30,0,0.00%
"Granularity=minimal, Sentence Index=4, Syntagm Type=SBAR",3,minimal,4,SBAR,3,0,0.00%
"Granularity=minimal, Sentence Index=4, Syntagm Type=VP",3,minimal,4,VP,1,0,0.00%
"Granularity=minimal, Sentence Index=4, Syntagm Type=WHNP",3,minimal,4,WHNP,1,0,0.00%
"Granularity=minimal, Sentence Index=5",2,minimal,5,,15,1,6.67%
"Granularity=minimal, Sentence Index=5, Syntagm Type=ADJP",3,minimal,5,ADJP,2,1,50.00%
"Granularity=minimal, Sentence Index=5, Syntagm Type=NP",3,minimal,5,NP,10,0,0.00%
"Granularity=minimal, Sentence Index=5, Syntagm Type=SBAR",3,minimal,5,SBAR,2,0,0.00%
"Granularity=minimal, Sentence Index=5, Syntagm Type=VP",3,minimal,5,VP,1,0,0.00%
"Granularity=minimal, Sentence Index=6",2,minimal,6,,12,0,0.00%
"Granularity=minimal, Sentence Index=6, Syntagm Type=NP",3,minimal,6,NP,9,0,0.00%
"Granularity=minimal, Sentence Index=6, Syntagm Type=SBAR",3,minimal,6,SBAR,2,0,0.00%
"Granularity=minimal, Sentence Index=6, Syntagm Type=VP",3,minimal,6,VP,1,0,0.00%
"Granularity=minimal, Sentence Index=7",2,minimal,7,,6,0,0.00%
"Granularity=minimal, Sentence Index=7, Syntagm Type=NP",3,minimal,7,NP,4,0,0.00%
"Granularity=minimal, Sentence Index=7, Syntagm Type=SBAR",3,minimal,7,SBAR,1,0,0.00%
"Granularity=minimal, Sentence Index=7, Syntagm Type=VP",3,minimal,7,VP,1,0,0.00%
"Granularity=minimal, Sentence Index=8",2,minimal,8,,2,0,0.00%
"Granularity=minimal, Sentence Index=8, Syntagm Type=NP",3,minimal,8,NP,2,0,0.00%
"Granularity=minimal, Sentence Index=9",2,minimal,9,,2,0,0.00%
"Granularity=minimal, Sentence Index=9, Syntagm Type=NP",3,minimal,9,NP,2,0,0.00%
"Granularity=minimal, Syntagm Type=ADJP",2,minimal,,ADJP,43,5,11.63%
"Granularity=minimal, Syntagm Type=ADVP",2,minimal,,ADVP,50,4,8.00%
"Granularity=minimal, Syntagm Type=CONJP",2,minimal,,CONJP,1,0,0.00%
"Granularity=minimal, Syntagm Type=INTJ",2,minimal,,INTJ,2,0,0.00%
"Granularity=minimal, Syntagm Type=NP",2,minimal,,NP,2110,240,11.37%
"Granularity=minimal, Syntagm Type=PP",2,minimal,,PP,14,1,7.14%
"Granularity=minimal, Syntagm Type=PRT",2,minimal,,PRT,23,0,0.00%
"Granularity=minimal, Syntagm Type=QP",2,minimal,,QP,6,1,16.67%
"Granularity=minimal, Syntagm Type=SBAR",2,minimal,,SBAR,173,20,11.56%
"Granularity=minimal, Syntagm Type=VP",2,minimal,,VP,95,14,14.74%
"Granularity=minimal, Syntagm Type=WHADVP",2,minimal,,WHADVP,27,4,14.81%
"Granularity=minimal, Syntagm Type=WHNP",2,minimal,,WHNP,91,10,10.99%
"Sentence Index=0, Syntagm Type=ADJP",2,,0,ADJP,23,3,13.04%
"Sentence Index=0, Syntagm Type=ADVP",2,,0,ADVP,31,4,12.90%
"Sentence Index=0, Syntagm Type=CONJP",2,,0,CONJP,1,0,0.00%
"Sentence Index=0, Syntagm Type=INTJ",2,,0,INTJ,2,0,0.00%
"Sentence Index=0, Syntagm Type=NP",2,,0,NP,1774,217,12.23%
"Sentence Index=0, Syntagm Type=PP",2,,0,PP,516,55,10.66%
"Sentence Index=0, Syntagm Type=PRT",2,,0,PRT,15,0,0.00%
"Sentence Index=0, Syntagm Type=QP",2,,0,QP,5,1,20.00%
"Sentence Index=0, Syntagm Type=SBAR",2,,0,SBAR,182,21,11.54%
"Sentence Index=0, Syntagm Type=VP",2,,0,VP,386,42,10.88%
"Sentence Index=0, Syntagm Type=WHADVP",2,,0,WHADVP,19,4,21.05%
"Sentence Index=0, Syntagm Type=WHNP",2,,0,WHNP,76,10,13.16%
"Sentence Index=1, Syntagm Type=ADJP",2,,1,ADJP,11,0,0.00%
"Sentence Index=1, Syntagm Type=ADVP",2,,1,ADVP,8,1,12.50%
"Sentence Index=1, Syntagm Type=NP",2,,1,NP,283,18,6.36%
"Sentence Index=1, Syntagm Type=PP",2,,1,PP,66,2,3.03%
"Sentence Index=1, Syntagm Type=PRT",2,,1,PRT,6,0,0.00%
"Sentence Index=1, Syntagm Type=SBAR",2,,1,SBAR,41,4,9.76%
"Sentence Index=1, Syntagm Type=VP",2,,1,VP,118,5,4.24%
"Sentence Index=1, Syntagm Type=WHADVP",2,,1,WHADVP,2,0,0.00%
"Sentence Index=1, Syntagm Type=WHNP",2,,1,WHNP,8,0,0.00%
"Sentence Index=2, Syntagm Type=ADJP",2,,2,ADJP,8,0,0.00%
"Sentence Index=2, Syntagm Type=ADVP",2,,2,ADVP,7,1,14.29%
"Sentence Index=2, Syntagm Type=NP",2,,2,NP,217,18,8.29%
"Sentence Index=2, Syntagm Type=PP",2,,2,PP,45,3,6.67%
"Sentence Index=2, Syntagm Type=PRT",2,,2,PRT,1,0,0.00%
"Sentence Index=2, Syntagm Type=QP",2,,2,QP,1,0,0.00%
"Sentence Index=2, Syntagm Type=SBAR",2,,2,SBAR,38,3,7.89%
"Sentence Index=2, Syntagm Type=VP",2,,2,VP,93,9,9.68%
"Sentence Index=2, Syntagm Type=WHADVP",2,,2,WHADVP,5,0,0.00%
"Sentence Index=2, Syntagm Type=WHNP",2,,2,WHNP,5,0,0.00%
"Sentence Index=3, Syntagm Type=ADJP",2,,3,ADJP,4,2,50.00%
"Sentence Index=3, Syntagm Type=ADVP",2,,3,ADVP,5,0,0.00%
"Sentence Index=3, Syntagm Type=NP",2,,3,NP,114,6,5.26%
"Sentence Index=3, Syntagm Type=PP",2,,3,PP,22,0,0.00%
"Sentence Index=3, Syntagm Type=PRT",2,,3,PRT,1,0,0.00%
"Sentence Index=3, Syntagm Type=SBAR",2,,3,SBAR,17,2,11.76%
"Sentence Index=3, Syntagm Type=VP",2,,3,VP,42,2,4.76%
"Sentence Index=3, Syntagm Type=WHADVP",2,,3,WHADVP,1,0,0.00%
"Sentence Index=3, Syntagm Type=WHNP",2,,3,WHNP,1,0,0.00%
"Sentence Index=4, Syntagm Type=ADJP",2,,4,ADJP,2,0,0.00%
"Sentence Index=4, Syntagm Type=ADVP",2,,4,ADVP,3,0,0.00%
"Sentence Index=4, Syntagm Type=NP",2,,4,NP,31,0,0.00%
"Sentence Index=4, Syntagm Type=PP",2,,4,PP,6,0,0.00%
"Sentence Index=4, Syntagm Type=SBAR",2,,4,SBAR,4,0,0.00%
"Sentence Index=4, Syntagm Type=VP",2,,4,VP,19,0,0.00%
"Sentence Index=4, Syntagm Type=WHNP",2,,4,WHNP,1,0,0.00%
"Sentence Index=5, Syntagm Type=ADJP",2,,5,ADJP,2,1,50.00%
"Sentence Index=5, Syntagm Type=NP",2,,5,NP,10,0,0.00%
"Sentence Index=5, Syntagm Type=PP",2,,5,PP,1,0,0.00%
"Sentence Index=5, Syntagm Type=SBAR",2,,5,SBAR,2,0,0.00%
"Sentence Index=5, Syntagm Type=VP",2,,5,VP,7,0,0.00%
"Sentence Index=6, Syntagm Type=NP",2,,6,NP,9,0,0.00%
"Sentence Index=6, Syntagm Type=PP",2,,6,PP,1,0,0.00%
"Sentence Index=6, Syntagm Type=SBAR",2,,6,SBAR,2,0,0.00%
"Sentence Index=6, Syntagm Type=VP",2,,6,VP,6,0,0.00%
"Sentence Index=7, Syntagm Type=NP",2,,7,NP,4,0,0.00%
"Sentence Index=7, Syntagm Type=SBAR",2,,7,SBAR,1,0,0.00%
"Sentence Index=7, Syntagm Type=VP",2,,7,VP,3,0,0.00%
"Sentence Index=8, Syntagm Type=NP",2,,8,NP,2,0,0.00%
"Sentence Index=8, Syntagm Type=VP",2,,8,VP,1,0,0.00%
"Sentence Index=9, Syntagm Type=NP",2,,9,NP,2,0,0.00%
"Sentence Index=9, Syntagm Type=VP",2,,9,VP,1,0,0.00%
